,Unnamed: 0,tablescraper-selected-row href,New Club Name,New Description
39,40,https://now.calpoly.edu/organization/aephi," beta lambda chapter of alpha epsilon phi sorority , incorporated", alpha epsilon phi sorority foster lifelong friendship sisterhood academic social involvement community service provide home away home member
40,41,https://now.calpoly.edu/organization/bmes, biomedical engineering society, bmes dedicate enrich biomedical engineering student experience provide inclusive environment student build relationship explore field biomedical engineering & gain professional skill
41,42,https://now.calpoly.edu/organization/biotech, biotechnology club, biotechnology provide opportunity student gain well understand field biotechnology learn career path biotech gain valuable connection event
42,43,https://now.calpoly.edu/organization/baeccommunity, black academic excellence center ( baec ), uplift black student experience program unites black diaspora nurture growth share experience along educational social engagement produce joy unity register quarter ’ event profile
43,44,https://now.calpoly.edu/organization/calpolybsu, black student union, black student ally engage fun educational social activity
44,45,https://now.calpoly.edu/organization/blockchain, blockchain at cal poly, blockchain education research development platform teach student faculty application blockchain technology develop decentralize application
45,47,https://now.calpoly.edu/organization/bursa, burmese student association, burmese student association cultural/social create sense community among member represent burmese culture campus celebration burmese food event major holiday
46,48,https://now.calpoly.edu/organization/caed-dei," caed diversity , equity , and inclusion club", ca dei seek improve advocate academic social professional circumstance underrepresented minority student within ca way increase representation active participation college affair
47,49,https://now.calpoly.edu/organization/calpoly3daircraft, cal poly 3d printed aircraft club, dedicate research construct next generation 3d print rc aircraft competition material research
48,50,https://now.calpoly.edu/organization/cpac, cal poly accounting club, cpac help student develop professionally connect job opportunity accounting profession cpac creates community student professional give back help student progress career
49,51,https://now.calpoly.edu/organization/alpineclub, cal poly alpine club, alpine design facilitate safe travel backcountry provide gear partner weather assessment educational resource
50,52,https://now.calpoly.edu/organization/cparc, cal poly amateur radio club, devote application amateur radio use radio frequency spectrum noncommercial purpose include experimentation public service radio communication emergency communication
51,53,https://now.calpoly.edu/organization/amsa, cal poly american medical student association, amsa pre-medical focus prepare student career healthcare act valuable source information provide opportunity experience order help student thrive preparation medical school
52,54,https://now.calpoly.edu/organization/calpolyandaaz, cal poly andaaz club, andaaz 's first competitive co-ed film song dance team music especially come indian film mixed various western pop music
53,55,https://now.calpoly.edu/organization/animation, cal poly animation club, animation create animate short film host guest speaker workshop tour
54,56,https://now.calpoly.edu/organization/calpolyarchaeology, cal poly archaeology club, archaeology aim promote knowledge archaeological discipline provide network member connect professional peer
55,57,https://now.calpoly.edu/organization/archery, cal poly archery club, archery focus develop individual 's archery shoot skill focus recreational archery beginner expert
56,58,https://now.calpoly.edu/organization/cpas, cal poly astronomical society, astro society welcome passion space prior experience necessary throughout year organize stargaze event guest speaker quarterly camp trip hope see next astronomical adventure !
57,59,https://now.calpoly.edu/organization/aes, cal poly audio engineering society, audio engineering society provide education engineering audio gear include speaker mixer amplifier pedal microphone !
58,60,https://now.calpoly.edu/organization/website, cal poly ballroom dance club, ballroom dance encompasses wide variety partner dance basic dance ballroom dance waltz foxtrot tango cha cha rumba east coast swing although many experience partner require !
59,61,https://now.calpoly.edu/organization/barbell, cal poly barbell club, previously powerlifting expand focus strength-training athlete ! create uplift fitness community prioritizes mindful training still team-focused bond
60,62,https://now.calpoly.edu/organization/bowling, cal poly bowling club, competitive bowling team travel within west coast region numerous collegiate bowling tournament
61,63,https://now.calpoly.edu/organization/calpolycalgeo, cal poly calgeo club, goal calgeo propagate preserve interest geotechnical engineering among student & provide member academic professional connection ensure success
62,64,https://now.calpoly.edu/organization/chaarg, cal poly chaarg, chaarg acronym stand * change health attitude + action recreate girl * community seek make fitness fun + support want live healthy + happy life
63,65,https://now.calpoly.edu/organization/cccp, cal poly chess club, promote help people learn chess
64,66,https://now.calpoly.edu/organization/classics, cal poly classical literature book club, classical literature discussion-based aim help member reach well understand modern art language medium reading classic
65,67,https://now.calpoly.edu/organization/climbingclub, cal poly climbing club, climb function organization support social event allow fellow climber meet one another climb together also support competition team competes usa climb recognize collegiate team
66,68,https://now.calpoly.edu/organization/baseball, cal poly club baseball, baseball team member national baseball association ( ncba ) competes sothern pacific - west conference typically consists 26-32 player roster
67,69,https://now.calpoly.edu/organization/field-hockey, cal poly club field hockey, fall play college field hockey team compete tournament cup spring consist around member love play field hockey team environment
68,70,https://now.calpoly.edu/organization/cognitiveneuroscienceclub, cognitive neuroscience club, dedicate provide student opportunity learn cognitive neuroscience expand social professional network field
69,71,https://now.calpoly.edu/organization/cpcr, cal poly college republican club, community conservative united around idea individual freedom free speech strong national defense free enterprise traditional value
70,72,https://now.calpoly.edu/organization/calpolycomsclub, cal poly communication studies club, coms dynamic organization design student interested understand communication field focus academic professional social experience
71,73,https://now.calpoly.edu/organization/cpesociety, cal poly computer engineering society, social educational community computer engineering ( well compute ) major ! student-run society whose primary goal help student succeed major get jump-start workforce
72,74,https://now.calpoly.edu/organization/consulting-club, cal poly consulting club, consult ( cpcc ) focus raise awareness consult industry establish active connection student firm
73,75,https://now.calpoly.edu/organization/calpolysanluisobispocopticclub, cal poly coptic club, student-run organization provide community undergraduate student within coptic orthodox christian faith provide prayer meeting bible study church service service project fun social event
74,76,https://now.calpoly.edu/organization/counter-strike, cal poly counter-strike club, cpcs 's hub thing counter-strike provide community player casual competitive ! join discord info ! http : //discord.gg/pkpnzwmwaa
75,77,https://now.calpoly.edu/organization/mustangcricket, cal poly cricket club, mustang cricket student organization dedicate promote cricket campus provide equipment facility instruction make cricket accessible student regardless prior experience
76,78,https://now.calpoly.edu/organization/cpcropsclub, cal poly crops club, social cafe department involve connect student industry professional within agriculture sector
77,79,https://now.calpoly.edu/organization/cycling, cal poly cycling team, cycling team community like-minded individual embrace love two-wheeled adventure
78,80,https://now.calpoly.edu/organization/calpolydatascience, cal poly data science club, data science hope organization pursue data science minor anyone interested field hold monthly meeting workshop alumnus panel increase exposure knowledge data science
79,81,https://now.calpoly.edu/organization/cpslodems, cal poly democrats club, mission promote discourse inclusivity engagement political process meeting educational space student learn politics local national level
80,82,https://now.calpoly.edu/organization/disc-golf, cal poly disc golf club, disc golf student organization strives grow sport disc golf community play tournament across california practice couple day week
81,83,https://now.calpoly.edu/organization/distance, cal poly distance club, cpdc welcome competitive recreational runner strive provide opportunity runner compete college outside ncaa friendly environment look make friend run
82,84,https://now.calpoly.edu/organization/slo-ducks, cal poly ducks unlimited club, supply gateway student become involve wetland management waterfowl conservation also volunteer duck unlimited help put dinner raffle support wetland conservation nationwide
83,85,https://now.calpoly.edu/organization/cpes, cal poly economics society, economics society create provide forum intellectually curious student discus learn economics topic current event
84,86,https://now.calpoly.edu/organization/cpe, cal poly entrepreneurs, cpe thrive student entrepreneurial community campus brings together creative thinker doer build world-changing idea join u tuesday 6-7 pm nash innovation lab
85,87,https://now.calpoly.edu/organization/fencing, cal poly fencing club, sport fence student hold practice twice week attend least one tournament quarter experience personal gear necessary join
86,88,https://now.calpoly.edu/organization/yarn, cal poly fiber arts club, like crochet knit sew embroider ? interested learn ? come join fiber art skill level welcome !
87,89,https://now.calpoly.edu/organization/field-studies, cal poly field studies club, field study organizes plan camp trip fill adventure across west coast build community foster friendship learn surround area
88,90,https://now.calpoly.edu/organization/fgc, cal poly fighting game club, general fight game community encompass traditional fighter platform fighter etc
89,91,https://now.calpoly.edu/organization/cinemaclub, cal poly film club, cinema offer great opportunity meet connect fellow student share interest film & filmmaking hold weekly film screen campus open interest level
90,92,https://now.calpoly.edu/organization/calpolyfoodrecovery, cal poly food recovery network club, 's chapter food recovery network aim give back community combat food insecurity exists within san luis obispo reduce food waste harm environment contributes climate change
91,93,https://now.calpoly.edu/organization/fdc, cal poly furniture design club, furniture design place explore passion furniture every quarter design build set whether want design build talk place fdc
92,94,https://now.calpoly.edu/organization/cpgd, cal poly game development club, exists teach people various aspect game development welcome accessible way also host game jam every quarter
93,95,https://now.calpoly.edu/organization/calpolygeography, cal poly geography club, geography open everyone interest world environment geopolitics gi map-making anything related geography !
94,96,https://now.calpoly.edu/organization/calpolyinvesting, cal poly investing club, invest found give student year major place learn discus invest kind
95,97,https://now.calpoly.edu/organization/na, cal poly investment banking club, investment banking ’ mission provide student resource necessary attain internship job investment banking
96,98,https://now.calpoly.edu/organization/islaclub, cal poly isla club, isla provide information community support isla major interested major
97,99,https://now.calpoly.edu/organization/juggling, cal poly juggling club, meet learn new trick practice old one spread joy juggling teach
98,100,https://now.calpoly.edu/organization/calpolyjumpropeclub, cal poly jump rope club, competitive performance jump rope team dedicate spread sport jump rope ! jump rope longer activity kid playground ; fun challenge creative sport ! prior experience necessary !
99,101,https://now.calpoly.edu/organization/cpkaaram, cal poly kaaram dance club, organization non-audition fusion indian dance team primarily focus south indian dance style
100,102,https://now.calpoly.edu/organization/slolers, cal poly league of legends club, provide campus community casual competitive league legend player participate join discord server ! http : //discord.gg/vbsatxu
101,103,https://now.calpoly.edu/organization/cplug, cal poly linux users group, 're user fan gnu/linux operating system want regular talk meeting well social event opportunity arises
102,104,https://now.calpoly.edu/organization/calpolyloreclub, cal poly lore club, lore strives create inclusive environment foster respectful discussion various fictional work range videogames literature opinion theory welcome multiple perspective key understand
103,105,https://now.calpoly.edu/organization/magic, cal poly magic the gathering club, foster campus community magic : gathering player host weekly event feature wide array format join discord server find game talk mtg !
104,106,https://now.calpoly.edu/organization/cpmarksmenship, cal poly marksmanship club, marksmanship student organization center around safe control practice shoot sport
105,107,https://now.calpoly.edu/organization/mbvc, cal poly men 's beach volleyball club, competitive yet social men 's beach volleyball schedule practice weekly compete third party tournament coast california compete team college usc ucla etc
106,108,https://now.calpoly.edu/organization/cplax, cal poly men 's lacrosse club, lacrosse highly competitive organize professional sport compete team nationwide mcla well locally wcll continue grow number aim compete win mcla championship
107,109,https://now.calpoly.edu/organization/slocore, cal poly men 's ultimate club, slocore official ultimate frisbee team san luis obispo found represent school local national competition men 's woman 's team
108,110,https://now.calpoly.edu/organization/merge, cal poly merge contemporary dance club, recreational dance focus contemporary jazz-based style
109,111,https://now.calpoly.edu/organization/cpdm, cal poly miracle club, dance marathon establish child 's miracle network fundraise year-round host dance marathon event every spring san luis obispo proceeds go cottage child 's medical center
110,112,https://now.calpoly.edu/organization/calpolymootcourtclub, cal poly moot court club, moot court practice public speak oral write debate critical think student argue fictional case apply real-world precedents/concepts front panel judge competition school
111,113,https://now.calpoly.edu/organization/musa, cal poly multiracial students ' association, social cultural focus building community share learn celebrate mixed student ' perspective
112,114,https://now.calpoly.edu/organization/mycology, cal poly mycology club, dedicate allow student learn field mycology major activity include forage trip mushroom grows research project join discord information : http : //discord.gg/yc9amawfaf
113,115,https://now.calpoly.edu/organization/nomas, cal poly national organization of minority architect students, noma student branch national organization minority architect ( noma ) noma ’ purpose champion diversity within design profession promote excellence community engagement professional development member
114,116,https://now.calpoly.edu/organization/nursingpaclub, cal poly nursing / pa club, give direction student aim either nursing pa profession network admission counselor familiarize student type program offer also provide information relevant job volunteer opportunity
115,117,https://now.calpoly.edu/organization/calpolyphotoclub, cal poly photography club, photography casual low-commitment group allows student interested photography type take photo together well share knowledge love photography
116,118,https://now.calpoly.edu/organization/calpolypickleballclub, cal poly pickleball club, pickleball welcome player skill level offer inclusive environment improve court skill discover sport enjoy lifetime !
117,119,https://now.calpoly.edu/organization/predental, cal poly pre-dental society, pre-dental society student interested become dentist look support network future dental career
118,120,https://now.calpoly.edu/organization/productmanagementclub, cal poly product management club, pm aim provide space student across different discipline learn product management build network peer well industry leader immerse intersection business tech design
119,121,https://now.calpoly.edu/organization/psi-chi, cal poly psi chi chapter, psi chi national honor society psychology student psi chi platform student form meaningful connection peer faculty member explore career path network within community otherwise
120,122,https://now.calpoly.edu/organization/publicpolicy, cal poly public policy club, mpp student-led platform design master ’ public policy student foster rich discussion professional development practical policy application workshop networking event community outreach
121,123,https://now.calpoly.edu/organization/calpolyquantclub, cal poly quantitative finance club, organization dedicate educate student field quantitative finance include member lead presentation seminar lead industry professional hand group project
122,124,https://now.calpoly.edu/organization/cpre, cal poly real estate club, expose student many different facet within real estate industry
123,125,https://now.calpoly.edu/organization/cprcc, cal poly red cross club, red cross strives extend humanitarian effort american red cross community certification class blood drive visit healthcare professional promote safer healthier campus
124,126,https://now.calpoly.edu/organization/rfid, cal poly rfid and iot club, promote project education around rfid iot technology especially business application
125,127,https://now.calpoly.edu/organization/polyroundnet, cal poly roundnet club, hub spikeball ( sport roundnet ) ! goal every person come meeting learn love game promote ! follow u information instagram @ calpolyspike
126,128,https://now.calpoly.edu/organization/rowing, cal poly rowing club, row aim provide mustang experience level opportunity either discover continue participation sport row cprc member expect row boat range single scull way eight
127,129,https://now.calpoly.edu/organization/rugby, cal poly rugby club, sport team
128,130,https://now.calpoly.edu/organization/cpsalsa, cal poly salsa club, since salsa ( cpsalsa ) dedicate promote salsa bachata form afro-latin social dance san luis obispo rest central coast learn dance u partner experience necessary !
129,132,https://now.calpoly.edu/organization/cpsec, cal poly security education club, group security-oriented individual aim teach develop security expertise weekly talk hands-on activity competition interdisciplinary research open major compute disciplinaries
130,133,https://now.calpoly.edu/organization/cpsloverwatch, cal poly sloverwatch club, sloverwatch connect overall esports community campus welcome environment casual competitive player video game overwatch primary purpose provide fun event make friend !
131,134,https://now.calpoly.edu/organization/cp_sociologyclub, cal poly sociology club, organization provide sociology student support within major connection department local organization help student find niche within sociological field
132,135,https://now.calpoly.edu/organization/cpsicc, cal poly south indian cultural club, space celebrate preserve empower south indian culture diaspora
133,136,https://now.calpoly.edu/organization/svdc, cal poly student veterans and dependents club, military connect student build community provide resource
134,137,https://now.calpoly.edu/organization/surfrider, cal poly surfrider foundation, student chapter surfrider foundation national non-profit organization dedicate protection enjoyment world 's ocean beach wave many program focus education advocacy coastline
135,138,https://now.calpoly.edu/organization/survivor, cal poly survivor club, creates opportunity student meet new people compete excite strategic game base hit cbs tv show survivor n't want play also join welcome community reality tv lover
136,139,https://now.calpoly.edu/organization/calpolyswimclub, cal poly swim club, beginner former ncaa division swimmer swim fun competitive offer training swimmer ability part cisca cc
137,140,https://now.calpoly.edu/organization/cpswing, cal poly swing club, group dancer love lindy hop charleston collegiate shag balboa various variety swing level welcome ! free lesson sunday 1-3pm dance madonna inn every monday 8-10pm dance around !
138,141,https://now.calpoly.edu/organization/table-tennis, cal poly table tennis club, table tennis group student interested develop skill table tennis encourage supportive environment welcome ability level also offer opportunity competitive recreational play
139,142,https://now.calpoly.edu/organization/calpolytaga, cal poly taga club, taga technical association graphic art hands-on competitive graphic communication focus design produce technical research journal introduce student graphic printing industry
140,143,https://now.calpoly.edu/organization/calpolytechsales, cal poly tech sales club, 's new b2b software sale ( tech sale ) want give student specifically student opportunity learn get involve saas sale focus help student become bdrs sdrs account executive
141,144,https://now.calpoly.edu/organization/tec, cal poly textile engineering club, goal 's textile engineering represent synthetic material engineering provide opportunity develop textile student aim establish connection industry work polymer fiber plastic
142,145,https://now.calpoly.edu/organization/theisms, cal poly theisms club, promote open-minded thoughtful reflection upon issue important religious study activity speaker program
143,146,https://now.calpoly.edu/organization/unicycle, cal poly unicycle club, unicycle exists teach anyone interested ride unicycle first time also level skill exist rider hope promote sport unicycle within campus community safe fun environment
144,147,https://now.calpoly.edu/organization/cpurbanists, cal poly urbanists club, look promote real world application planning principle order empower student enact change wish seek campus activism community engagement
145,148,https://now.calpoly.edu/organization/valorant, cal poly valorant club, one-stop valor campus welcome casual competitive valor player !
146,149,https://now.calpoly.edu/organization/vanlifeclub, cal poly van life club, van life/ tiny-house base focus travel recreation & alternative living member also discus diy camper conversion ownership vehicle require participate welcome !
147,150,https://now.calpoly.edu/organization/water-ski, cal poly water ski team, water ski team promotes sport competitive water skiing west coast national level provide student skill level access practice coach slalom trick jump event
148,151,https://now.calpoly.edu/organization/cpwomeninbusiness, cal poly women in business association, found spring woman business association create act resource community young woman work provide student skill network need succeed college life
149,152,https://now.calpoly.edu/organization/womensclubbaseball, cal poly women 's club baseball, baseball team give woman opportunity play learn baseball compete game tournament woman 's team college want grow community woman sport build community
150,153,https://now.calpoly.edu/organization/cpwcvb, cal poly women 's club volleyball, woman 's volleyball offer intercollegiate competition volleyball level
151,154,https://now.calpoly.edu/organization/cpwp-womens, cal poly women 's club water polo, woman 's water polo team group athlete compete tournament pacific coast division collegiate water polo association inclusive team collectively share love game
152,155,https://now.calpoly.edu/organization/calpolywlax, cal poly women 's lacrosse team, home 7-time national champion woman 's lacrosse competes division & division ii western woman 's lacrosse league play various team throughout california
153,156,https://now.calpoly.edu/organization/wrestling, cal poly wrestling club, provide opportunity student begin continue wrestling career stay involve wrestling community
154,157,https://now.calpoly.edu/organization/calpolyyogaclub, cal poly yoga club, yoga recreational organization provide safe inclusive space student learn practice enjoy yoga acro yoga together free partner experience equipment need @ calpoly.yogaclub instagram
155,158,https://now.calpoly.edu/organization/yu-gi-oh, cal poly yu-gi-oh ! club, yu-gi-oh ! strives create friendly atmosphere interested learn play game yu-gi-oh !
156,159,https://now.calpoly.edu/organization/cpwc," california polytechnic state university , san luis obispo student chapter of the wildlife society", wildlife student chapter wildlife society provide student interested career wildlife networking opportunity workshop meet every thursday 11am
157,160,https://now.calpoly.edu/organization/camellia, camellia club, camellia form create welcome environment student year major relax get know make connection
158,161,https://now.calpoly.edu/organization/camp-polyhacks, camp polyhacks, camp polyhacks organizes annual hackathon brings together interdisciplinary student building community social entrepreneurship
159,163,https://now.calpoly.edu/organization/cpcc, can of worms comedy club, worm comedy want venture dazzle world stand-up comedy ! whether like watch perform stand-up comedy worm open mics theme night workshop showcase year round !
160,167,https://now.calpoly.edu/organization/chabad, chabad student group, chabad student group jewish organization provide student `` home away home `` chabad dedicate increase awareness knowledge tradition judaism central coast
161,168,https://now.calpoly.edu/organization/chidelts," chi delta theta sorority , incorporated", chi delta theta strives promote siblinghood academic community service cultural awareness social activity life member
162,169,https://now.calpoly.edu/organization/xe, chi epsilon honor society, chi epsilon national civil engineering honor society united state honor student exemplify principle `` scholarship character practicality sociability `` civil environmental engineering profession
163,170,https://now.calpoly.edu/organization/alpha-omicron-pi, chi psi chapter of alpha omicron pi, object fraternity shall encourage spirit fraternity love among member ; stand time character dignity scholarship college loyalty
164,171,https://now.calpoly.edu/organization/calpolypsi, chi sigma chapter of phi sigma iota, psi chapter phi sigma iota high international linguistics honor society recognizes outstanding accomplishment study teach academic related foreign language literature culture
165,172,https://now.calpoly.edu/organization/csa, chinese students ' association, csa social-cultural strives bring people together social event celebrates chinese culture importantly mission create inclusive friendly community
166,173,https://now.calpoly.edu/organization/christian-students, christian students, group believer love lord want meet pursue regardless background
167,174,https://now.calpoly.edu/organization/club34, club 34, 's social art aim build community interdisciplinary creatives host handful social event quarter may include student-run show craft night artist talk movie night
168,175,https://now.calpoly.edu/organization/tennis, club tennis, tennis co-ed team whose goal allow player skill level continue tennis career develop tight-knit group process competitive team travel monthly compete team across nation
169,176,https://now.calpoly.edu/organization/americorps, college corps service opportunities, college corp fellow interested service outside primary host site ? 're right place ! check fun supplemental service opportunity
170,177,https://now.calpoly.edu/organization/cafescouncil," college of agriculture , food , and environmental sciences student council", college agriculture food environmental science one representative come together meeting every tuesday talk different event go college
171,178,https://now.calpoly.edu/organization/cac, colleges against cancer, plan annual relay life large-scale fundraiser benefit american cancer society
172,179,https://now.calpoly.edu/organization/color-coded, color coded, found `` color cod : diversity tech `` student-led organization aim promote professional academic success underrepresented student technology industry
173,180,https://now.calpoly.edu/organization/cessa, comparative ethnic studies student association, comparative ethnic study student association `` purpose provide place supplement educational networking experience student interest comparative ethnic study
174,181,https://now.calpoly.edu/organization/csai, computer science and artificial intelligence, csai brings student together tackle meaningful problem use artificial intelligence
175,182,https://now.calpoly.edu/organization/computingclubcollaborative, computing club collaborative, leader compute organization campus come together create immersive event student !
176,183,https://now.calpoly.edu/organization/crs, computing research society, offer space conduct hands-on research collaborative project literature discussion compute member present find foster skill deeper understand research methodology
177,185,https://now.calpoly.edu/organization/cldc, country line dancing club, country line dance provide engage interactive line partner dance instruction student offer safe environment member learn everything need know country line dance
178,186,https://now.calpoly.edu/organization/cp-drag, cal poly drag club, drag found way give campus queer artist enthusiast way explore embrace
179,187,https://now.calpoly.edu/organization/slocru, cru, cru central coast part cru interdenominational worldwide christian ministry goal give every student opportunity hear respond good news jesus christ
180,188,https://now.calpoly.edu/organization/delight-ministries, delight ministries at cal poly, delight invite college woman central coast christ-centered community foster vulnerability transforms story
181,189,https://now.calpoly.edu/organization/deltachi, delta chi, delta chi campus-affiliated greek fraternity strive benefit life character every one member foster unique brotherhood center around loyalty compassion & gentlemanly conduct
182,190,https://now.calpoly.edu/organization/dsp, delta sigma phi - epsilon rho chapter, delta sigma phi 's mission `` building well men `` `` well man `` define man courage man action man excellence member delta sigma phi value culture harmony friendship
183,191,https://now.calpoly.edu/organization/deltasig, delta sigma pi kappa mu chapter, delta sigma pi professional fraternity organize foster study business university promote closer affiliation commercial world & student commerce
184,192,https://now.calpoly.edu/organization/delta-upsilon, delta upsilon, affiliate fraternity chapter strives bring philanthropy volunteer service campus surround community
185,193,https://now.calpoly.edu/organization/designlab, design lab, design lab provide space designer professional connect collaborate project learn industry
186,194,https://now.calpoly.edu/organization/calpolydesignvillage, design village, design village student-run organization host annual design-build competition direct sponsorship 's ca competitor across country compete alongside student claim winner year 's theme
187,195,https://now.calpoly.edu/organization/disability-alliance, disability alliance, disability alliance seek develop supportive welcome environment student ability create community space peer connection educate disability history culture activism
188,198,https://now.calpoly.edu/organization/adventurers, dragon boating outreach club, affiliate central coast adventurer dragon boat team student opportunity paddle morro bay fun supportive environment provide chance see wildlife build community exercise !
189,200,https://now.calpoly.edu/organization/eco-reps, eco reps, eco rep commit create culture environmental stewardship campus eco rep exemplify motto 'growing greener mind ' play direct role 's advancement sustainability
190,201,https://now.calpoly.edu/organization/eop, educational opportunity program ( eop ), provide admission academic financial support service historically underserved student throughout california
191,202,https://now.calpoly.edu/organization/teachersofcolorlendinglibrary, educators of color, educator color 's purpose create space student color passionate educational field teach primary secondary post-secondary set work administrator student/academic affair personnel
192,203,https://now.calpoly.edu/organization/eimclub, eim club, eim student organization primary focus serve student whether major interested recreation park tourism administration ( rpta ) provide opportunity networking job local business insight
193,204,https://now.calpoly.edu/organization/endoverdose, end overdose at cal poly, end overdose ( c ) non-profit organization base los angel california work end drug-related overdose death education medical intervention public awareness
